Date,Location,Rd,Gm,Series Clinch,Name,Team,Final Score,Opp.,OTs,OT Time
2021-05-24,WPG,FR,4,x,"Connor, Kyle",WPG,4-3,EDM,3,46:52
2021-05-25,CAR,FR,5,,"Staal, Jordan",CAR,3-2,NSH,1,2:03
2021-05-27,NSH,FR,6,x,"Aho, Sebastian",CAR,4-3,NSH,1,1:06
2021-05-27,TOR,FR,5,,"Suzuki, Nick",MTL,4-3,TOR,1,0:59
2021-05-29,MTL,FR,6,,"Kotkaniemi, Jesperi",MTL,3-2,TOR,1,15:15
2021-05-31,BOS,SR,2,,"Cizikas, Casey",NYI,4-3,BOS,1,14:48
2021-06-02,COL,SR,2,,"Rantanen, Mikko",COL,3-2,VEG,1,2:07
2021-06-03,NYI,SR,3,,"Marchand, Brad",BOS,2-1,NYI,1,3:36
2021-06-03,TBL,SR,3,,"Staal, Jordan",CAR,3-2,TBL,1,5:57
2021-06-07,MTL,SR,4,x,"Toffoli, Tyler",MTL,3-2,WPG,1,1:39
2021-06-08,COL,SR,5,,"Stone, Mark",VEG,3-2,COL,1,0:50
2021-06-18,MTL,SF,3,,"Anderson, Josh",MTL,3-2,VEG,1,12:53
2021-06-20,MTL,SF,4,,"Roy, Nicolas",VEG,2-1,MTL,1,1:18
2021-06-23,NYI,SF,6,,"Beauvillier, Anthony",NYI,3-2,TBL,1,1:08
2021-06-24,MTL,SF,6,x,"Lehkonen, Artturi",MTL,3-2,VEG,1,1:39
2021-07-05,MTL,F,4,,"Anderson, Josh",MTL,3-2,TBL,1,3:57
2022-05-03,NYR,FR,1,,"Malkin, Evgeni",PIT,4-3,NYR,3,45:58
2022-05-05,COL,FR,2,,"Makar, Cale",COL,2-1,NSH,1,8:31
2022-05-09,WSH,FR,4,,"Verhaeghe, Carter",FLA,3-2,WSH,1,4:57
2022-05-10,EDM,FR,5,,"Kempe, Adrian",LAK,5-4,EDM,1,1:12
2022-05-12,TBL,FR,6,,"Point, Brayden",TBL,4-3,TOR,1,18:04
2022-05-13,WSH,FR,6,x,"Verhaeghe, Carter",FLA,4-3,WSH,1,2:46
2022-05-15,CGY,FR,7,x,"Gaudreau, Johnny",CGY,3-2,DAL,1,15:09
2022-05-15,NYR,FR,7,x,"Panarin, Artemi",NYR,4-3,PIT,1,4:46
2022-05-17,COL,SR,1,,"Manson, Josh",COL,3-2,STL,1,8:02
2022-05-18,CAR,SR,1,,"Cole, Ian",CAR,2-1,NYR,1,3:12
2022-05-25,COL,SR,5,,"Bozak, Tyler",STL,5-4,COL,1,3:38
2022-05-26,CGY,SR,5,x,"McDavid, Connor",EDM,5-4,CGY,1,5:03
2022-06-06,EDM,CF,4,x,"Lehkonen, Artturi",COL,6-5,EDM,1,1:19
2022-06-15,COL,F,1,,"Burakovsky, André",COL,4-3,TBL,1,1:23
2022-06-22,TBL,F,4,,"Kadri, Nazem",COL,3-2,TBL,1,12:02
2023-04-17,DAL,FR,1,,"Hartman, Ryan",MIN,3-2,DAL,2,32:20
2023-04-17,EDM,FR,1,,"Iafallo, Alex",LAK,4-3,EDM,1,9:19
2023-04-19,CAR,FR,2,,"Fast, Jesper",CAR,4-3,NYI,1,5:03
2023-04-21,LAK,FR,3,,"Moore, Trevor",LAK,3-2,EDM,1,3:24
2023-04-22,NYR,FR,3,,"Hamilton, Dougie",NJD,2-1,NYR,1,11:36
2023-04-22,TBL,FR,3,,"Rielly, Morgan",TOR,4-3,TBL,1,19:15
2023-04-22,WPG,FR,3,,"Amadio, Michael",VEG,5-4,WPG,2,23:40
2023-04-23,LAK,FR,4,,"Hyman, Zach",EDM,5-4,LAK,1,10:39
2023-04-24,SEA,FR,4,,"Eberle, Jordan",SEA,3-2,COL,1,3:00
2023-04-24,TBL,FR,4,,"Kerfoot, Alexander",TOR,5-4,TBL,1,4:14
2023-04-26,BOS,FR,5,,"Tkachuk, Matthew",FLA,4-3,BOS,1,6:05
2023-04-28,NYI,FR,6,x,"Stastny, Paul",CAR,2-1,NYI,1,6:00
2023-04-29,TBL,FR,6,x,"Tavares, John",TOR,2-1,TBL,1,4:36
2023-04-30,BOS,FR,7,x,"Verhaeghe, Carter",FLA,4-3,BOS,1,8:35
2023-05-02,DAL,SR,1,,"Gourde, Yanni",SEA,5-4,DAL,1,12:17
2023-05-07,FLA,SR,3,,"Reinhart, Sam",FLA,3-2,TOR,1,3:02
2023-05-11,CAR,SR,5,x,"Fast, Jesper",CAR,3-2,NJD,1,7:09
2023-05-12,TOR,SR,5,x,"Cousins, Nick",FLA,3-2,TOR,1,15:32
2023-05-18,CAR,CF,1,,"Tkachuk, Matthew",FLA,3-2,CAR,4,79:47
2023-05-19,VEG,CF,1,,"Howden, Brett",VEG,4-3,DAL,1,1:35
2023-05-20,CAR,CF,2,,"Tkachuk, Matthew",FLA,2-1,CAR,1,1:51
2023-05-21,VEG,CF,2,,"Stephenson, Chandler",VEG,3-2,DAL,1,1:12
2023-05-25,DAL,CF,4,,"Pavelski, Joe",DAL,3-2,VEG,1,3:18
2023-06-08,FLA,F,3,,"Verhaeghe, Carter",FLA,3-2,VEG,1,4:27
2024-04-23,FLA,FR,2,,"Verhaeghe, Carter",FLA,3-2,TBL,1,2:59
2024-04-24,EDM,FR,2,,"Kopitar, Anže",LAK,5-4,EDM,1,2:07
2024-04-27,NYI,FR,4,,"Barzal, Mathew",NYI,3-2,CAR,2,21:24
2024-04-27,VEG,FR,3,,"Johnston, Wyatt",DAL,3-2,VEG,1,16:23
2024-04-28,NSH,FR,4,,"Lindholm, Elias",VAN,4-3,NSH,1,1:02
2024-04-30,BOS,FR,5,,"Knies, Matthew",TOR,2-1,BOS,1,2:26
