Date,Location,Rd,Gm,Series Clinch,Name,Team,Final Score,Opp.,OTs,OT Time
1973-04-10,PHI,QF,5,,"Dornhoefer, Gary",PHI,3-2,MNS,1,8:35
1973-04-14,MTL,SF,1,,"MacLeish, Rick",PHI,5-4,MTL,1,2:56
1973-04-17,MTL,SF,2,,"Robinson, Larry",MTL,4-3,PHI,1,6:45
1974-04-14,ATF,QF,4,x,"Schultz, Dave",PHI,4-3,ATF,1,5:40
1974-04-14,TOR,QF,4,x,"Hodge, Ken",BOS,4-3,TOR,1,1:27
1974-04-16,MTL,QF,5,,"Harris, Ron",NYR,3-2,MTL,1,4:07
1974-04-23,CBH,SF,3,,"Pappin, Jim",CBH,4-3,BOS,1,3:48
1974-04-28,NYR,SF,4,,"Gilbert, Rod",NYR,2-1,PHI,1,4:20
1974-05-09,BOS,F,2,,"Clarke, Bobby",PHI,3-2,BOS,1,12:01
1975-04-08,LAK,PRE,1,,"Murphy, Mike",LAK,3-2,TOR,1,8:53
1975-04-10,CBH,PRE,2,,"Boldirev, Ivan",CBH,4-3,BOS,1,7:33
1975-04-10,TOR,PRE,2,,"Stoughton, Blaine",TOR,3-2,LAK,1,10:19
1975-04-11,NYR,PRE,3,x,"Parisé, J.P.",NYI,4-3,NYR,1,0:11
1975-04-17,CBH,QF,3,,"Mikita, Stan",CBH,5-4,BUF,1,2:31
1975-04-19,TOR,QF,4,x,"Dupont, André",PHI,4-3,TOR,1,1:45
1975-04-22,MTL,QF,5,x,"Lafleur, Guy",MTL,5-4,VAN,1,17:06
1975-04-27,BUF,SF,1,,"Gare, Danny",BUF,6-5,MTL,1,4:42
1975-05-01,PHI,SF,2,,"Clarke, Bobby",PHI,5-4,NYI,1,2:56
1975-05-06,BUF,SF,5,,"Robert, René",BUF,5-4,MTL,1,5:56
1975-05-07,NYI,SF,4,,"Drouin, Jude",NYI,4-3,PHI,1,1:53
1975-05-20,BUF,F,3,,"Robert, René",BUF,5-4,PHI,1,18:29
1976-04-08,BUF,PRE,2,,"Gare, Danny",BUF,3-2,STL,1,11:43
1976-04-09,BUF,PRE,3,x,"Luce, Don",BUF,2-1,STL,1,14:27
1976-04-13,BOS,QF,2,,"Goring, Butch",LAK,3-2,BOS,1,0:27
1976-04-13,BUF,QF,2,,"Gare, Danny",BUF,3-2,NYI,1,14:04
1976-04-22,LAK,QF,6,,"Goring, Butch",LAK,4-3,BOS,1,18:28
1976-04-29,PHI,SF,2,,"Leach, Reggie",PHI,2-1,BOS,1,13:38
1977-04-15,TOR,QF,3,,"MacLeish, Rick",PHI,4-3,TOR,1,2:55
1977-04-17,TOR,QF,4,,"Leach, Reggie",PHI,6-5,TOR,1,19:10
1977-04-24,PHI,SF,1,,"Middleton, Rick",BOS,4-3,PHI,1,2:57
1977-04-26,PHI,SF,2,,"O'Reilly, Terry",BOS,5-4,PHI,2,30:07
1977-05-03,MTL,SF,5,,"Harris, Billy",NYI,4-3,MTL,1,3:58
1977-05-14,BOS,F,4,x,"Lemaire, Jacques",MTL,2-1,BOS,1,4:32
1978-04-11,PHI,PRE,1,,"Bridgman, Mel",PHI,3-2,CLR,1,0:23
1978-04-13,NYR,PRE,2,,"Murdoch, Don",NYR,4-3,BUF,1,1:37
1978-04-19,BOS,QF,2,,"O'Reilly, Terry",BOS,4-3,CBH,1,1:50
1978-04-19,NYI,QF,2,,"Bossy, Mike",NYI,3-2,TOR,1,2:50
1978-04-21,CBH,QF,3,,"McNab, Peter",BOS,4-3,CBH,1,10:17
1978-04-25,NYI,QF,5,,"Nystrom, Bob",NYI,2-1,TOR,1,8:02
1978-04-29,NYI,QF,7,x,"McDonald, Lanny",TOR,2-1,NYI,1,4:13
1978-05-02,BOS,SF,1,,"Middleton, Rick",BOS,3-2,PHI,1,1:43
1978-05-16,MTL,F,2,,"Lafleur, Guy",MTL,3-2,BOS,1,13:09
1978-05-21,BOS,F,4,,"Schmautz, Bobby",BOS,4-3,MTL,1,6:22
1979-04-12,LAK,PRE,2,x,"Esposito, Phil",NYR,2-1,LAK,1,6:11
1979-04-14,BUF,PRE,3,x,"Ferguson, George",PIT,4-3,BUF,1,0:47
1979-04-16,PHI,QF,1,,"Linseman, Ken",PHI,3-2,NYR,1,0:44
1979-04-18,NYI,QF,2,,"Bossy, Mike",NYI,1-0,CBH,1,2:31
1979-04-21,TOR,QF,3,,"Connor, Cam",MTL,4-3,TOR,2,25:25
1979-04-22,TOR,QF,4,x,"Robinson, Larry",MTL,5-4,TOR,1,4:14
1979-04-28,NYI,SF,2,,"Potvin, Denis",NYI,4-3,NYR,1,8:02
1979-05-03,BOS,SF,4,,"Ratelle, Jean",BOS,4-3,MTL,1,3:46
1979-05-03,NYR,SF,4,,"Nystrom, Bob",NYI,3-2,NYR,1,3:40
1979-05-10,MTL,SF,7,x,"Lambert, Yvon",MTL,5-4,BOS,1,9:33
1979-05-19,NYR,F,4,,"Savard, Serge",MTL,4-3,NYR,1,7:25
1980-04-08,CBH,PRE,1,,"Lecuyer, Doug",CBH,3-2,STL,1,12:34
1980-04-08,NYR,PRE,1,,"Vickers, Steve",NYR,2-1,ATF,1,0:33
1980-04-08,PHI,PRE,1,,"Clarke, Bobby",PHI,4-3,EDM,1,8:06
1980-04-11,EDM,PRE,3,x,"Linseman, Ken",PHI,3-2,EDM,2,23:56
1980-04-11,Hartford,PRE,3,x,"Lambert, Yvon",MTL,4-3,HAR,1,0:29
1980-04-11,LAK,PRE,3,,"Morrow, Ken",NYI,4-3,LAK,1,6:55
1980-04-11,TOR,PRE,3,x,"MacAdam, Al",MNS,4-3,TOR,1,0:32
1980-04-16,BOS,QF,1,,"Gillies, Clark",NYI,2-1,BOS,1,1:02
1980-04-17,BOS,QF,2,,"Bourne, Bob",NYI,5-4,BOS,1,1:24
1980-04-21,NYI,QF,4,,"O'Reilly, Terry",BOS,4-3,NYI,1,17:13
1980-05-01,BUF,SF,2,,"Nystrom, Bob",NYI,2-1,BUF,2,21:20
1980-05-13,PHI,F,1,,"Potvin, Denis",NYI,4-3,PHI,1,4:07
1980-05-24,NYI,F,6,x,"Nystrom, Bob",NYI,5-4,PHI,1,7:11
1981-04-08,BOS,PRE,1,,"Payne, Steve",MNS,5-4,BOS,1,3:34
1981-04-08,BUF,PRE,1,,"Haworth, Alan",BUF,3-2,VAN,1,5:00
1981-04-11,CBH,PRE,3,x,"Plett, Willi",CGY,5-4,CBH,2,35:17
1981-04-12,QUE,PRE,4,,"Hunter, Dale",QUE,4-3,PHI,1,0:37
1981-04-14,STL,PRE,5,x,"Crombeen, Mike",STL,4-3,PIT,2,25:16
1981-04-16,BUF,QF,1,,"Payne, Steve",MNS,4-3,BUF,1,0:22
1981-04-20,EDM,QF,4,,"Morrow, Ken",NYI,5-4,EDM,1,5:41
1981-04-20,MNS,QF,4,,"Ramsay, Craig",BUF,5-4,MNS,1,16:32
1982-04-07,MNS,DSF,1,,"Fox, Greg",CBH,3-2,MNS,1,3:34
1982-04-08,EDM,DSF,2,,"Gretzky, Wayne",EDM,3-2,LAK,1,6:20
1982-04-08,VAN,DSF,2,,"Williams, Tiger",VAN,2-1,CGY,1,14:20
1982-04-10,LAK,DSF,3,,"Evans, Daryl",LAK,6-5,EDM,1,2:35
1982-04-10,PIT,DSF,3,,"Kehoe, Rick",PIT,2-1,NYI,1,4:14
1982-04-13,MTL,DSF,5,x,"Hunter, Dale",QUE,3-2,MTL,1,0:22
1982-04-13,NYI,DSF,5,x,"Tonelli, John",NYI,4-3,PIT,1,6:19
1982-04-16,VAN,DF,2,,"Bozek, Steve",LAK,3-2,VAN,1,4:33
1982-04-18,LAK,DF,3,,"Campbell, Colin",VAN,4-3,LAK,1,1:23
1982-04-18,NYR,DF,3,,"Trottier, Bryan",NYI,4-3,NYR,1,3:00
1982-04-18,QUE,DF,3,,"Paiement, Wilf",QUE,3-2,BOS,1,11:44
1982-04-21,STL,DF,5,,"Federko, Bernie",STL,3-2,CBH,1,3:28
1982-04-23,QUE,DF,6,,"McNab, Peter",BOS,6-5,QUE,1,10:54
1982-04-27,CBH,CF,1,,"Nill, Jim",VAN,2-1,CBH,2,28:58
1982-05-01,QUE,CF,3,,"Merrick, Wayne",NYI,5-4,QUE,1,16:52
1982-05-08,NYI,F,1,,"Bossy, Mike",NYI,6-5,VAN,1,19:58
1983-04-05,BOS,DSF,1,,"Pederson, Barry",BOS,4-3,QUE,1,1:46
1983-04-06,CGY,DSF,1,,"Beers, Eddy",CGY,4-3,VAN,1,12:27
1983-04-07,MNS,DSF,2,,"Smith, Bobby",MNS,5-4,TOR,1,5:03
1983-04-10,TOR,DSF,4,x,"Ciccarelli, Dino",MNS,5-4,TOR,1,8:05
1983-04-10,VAN,DSF,4,x,"Meredith, Greg",CGY,4-3,VAN,1,1:06
1983-04-18,MNS,DF,4,,"Preston, Rich",CBH,4-3,MNS,1,10:34
1983-04-24,BOS,DF,7,x,"Park, Brad",BOS,3-2,BUF,1,1:52
1984-04-05,EDM,DSF,2,,"Gregg, Randy",EDM,5-4,WIN,1,0:21
1984-04-07,DET,DSF,3,,"Reeds, Mark",STL,4-3,DET,2,37:07
1984-04-08,DET,DSF,4,x,"Pettersson, Jörgen",STL,3-2,DET,1,2:42
1984-04-10,NYI,DSF,5,x,"Morrow, Ken",NYI,3-2,NYR,1,8:56
1984-04-13,EDM,DF,2,,"Wilson, Carey",CGY,6-5,EDM,1,3:42
1984-04-13,MNS,DF,2,,"Gilmour, Doug",STL,4-3,MNS,1,16:16
1984-04-13,NYI,DF,2,,"Kallur, Anders",NYI,5-4,WSH,1,7:35
1984-04-16,MTL,DF,4,,"Berglund, Bo",QUE,4-3,MTL,1,3:00
1984-04-20,CGY,DF,6,,"McDonald, Lanny",CGY,5-4,EDM,1,1:04
1984-04-22,MNS,DF,7,x,"Payne, Steve",MNS,4-3,STL,1,6:00
1985-04-10,EDM,DSF,1,,"Fogolin, Lee",EDM,3-2,LAK,1,3:01
1985-04-10,PHI,DSF,1,,"Howe, Mark",PHI,5-4,NYR,1,8:01
1985-04-10,WIN,DSF,1,,"Mullen, Brian",WIN,5-4,CGY,1,7:56
1985-04-10,WSH,DSF,1,,"Haworth, Alan",WSH,4-3,NYI,1,2:28
1985-04-11,WSH,DSF,2,,"Gartner, Mike",WSH,2-1,NYI,2,21:23
1985-04-13,LAK,DSF,3,x,"Anderson, Glenn",EDM,4-3,LAK,1,0:46
1985-04-18,MTL,DF,1,,"Kumpel, Mark",QUE,2-1,MTL,1,12:23
1985-04-23,QUE,DF,3,,"Hunter, Dale",QUE,7-6,MTL,1,18:36
1985-04-25,MNS,DF,4,,"Sutter, Darryl",CBH,7-6,MNS,2,21:57
1985-04-28,CBH,DF,5,,"Maruk, Dennis",MNS,5-4,CBH,1,1:14
1985-04-30,MNS,DF,6,x,"Sutter, Darryl",CBH,6-5,MNS,1,15:41
1985-05-02,MTL,DF,7,x,"Šťastný, Peter",QUE,3-2,MTL,1,2:22
1985-05-05,QUE,CF,1,,"Šťastný, Peter",QUE,2-1,PHI,1,6:20
1986-04-09,QUE,DSF,1,,"Turgeon, Sylvain",HAR,3-2,QUE,1,2:36
1986-04-12,WIN,DSF,3,x,"McDonald, Lanny",CGY,4-3,WIN,1,8:25
