Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
494,Hudson Fasching,28,NYI,RW,45,4,10,14,-7,6,0.6,4,0,0,1,10,0,0,41,9.8,542,12:03,31,40,1,1,50.0,faschhu01
495,Zemgus Girgensons,30,BUF,C,63,8,6,14,-1,21,0.9,8,0,0,3,6,0,0,73,11.0,747,11:51,36,141,94,103,47.7,girgeze01
496,Ryan Graves,28,PIT,D,70,3,11,14,10,30,3.3,3,0,0,1,11,0,0,77,3.9,1287,18:23,142,72,0,0,,gravery01
497,Jordan Harris,23,MTL,D,56,3,11,14,-5,22,1.9,3,0,0,0,11,0,0,43,7.0,978,17:28,86,26,0,0,,harrijo01
498,Tanner Jeannot,26,TBL,F,55,7,7,14,-10,75,0.6,6,1,0,0,6,1,0,59,11.9,661,12:01,27,211,23,41,35.9,jeannta01
499,Nick Jensen,33,WSH,D,78,1,13,14,-9,10,2.9,1,0,0,0,13,0,0,71,1.4,1531,19:38,123,62,0,0,,jenseni02
500,Klim Kostin,24,TOT,C,52,8,6,14,-12,53,0.9,8,0,0,0,5,1,0,43,18.6,567,10:55,16,108,8,12,40.0,kostikl01
501,Jeremy Lauzon,26,NSH,D,79,6,8,14,-3,98,2.8,6,0,0,0,8,0,0,103,5.8,1470,18:37,111,386,0,0,,lauzoje01
502,Liam O'Brien,29,ARI,C,75,5,9,14,0,153,0.6,5,0,0,0,9,0,0,72,6.9,730,9:44,33,229,6,22,21.4,obrieli01
503,Taylor Raddysh,25,CHI,RW,73,5,9,14,-19,22,-0.2,3,1,1,0,7,2,0,120,4.2,1159,15:53,28,84,19,38,33.3,raddyta01
504,Nate Schmidt,32,WPG,D,63,2,12,14,10,16,3.1,1,1,0,1,9,3,0,75,2.7,1059,16:49,76,66,0,0,,schmina01
505,Logan Stankoven,20,DAL,C,24,6,8,14,10,4,1.7,5,1,0,0,7,1,0,51,11.8,352,14:40,11,20,11,6,64.7,stanklo01
506,Urho Vaakanainen,25,ANA,D,68,1,13,14,0,26,2.5,1,0,0,0,12,0,1,67,1.5,1188,17:29,79,55,0,0,,vaakaur01
507,Trevor van Riemsdyk,32,WSH,D,70,0,14,14,-7,18,2.7,0,0,0,0,13,0,1,75,0.0,1307,18:40,103,22,0,0,,vanritr01
508,Zach Whitecloud,27,VEG,D,61,2,12,14,-3,32,2.2,2,0,0,1,11,0,1,51,3.9,1073,17:35,105,129,0,0,,whiteza01
509,Alexander Barabanov,29,SJS,F,46,4,9,13,-24,12,-0.1,4,0,0,0,7,2,0,67,6.0,730,15:52,15,27,2,3,40.0,barabal01
510,Justin Barron,22,MTL,D,48,7,6,13,-3,16,2.3,6,1,0,1,6,0,0,60,11.7,894,18:38,59,61,0,0,,barroju01
